candle_begin_time,open,high,low,close,volume
2020-10-01,357.35,369.9,354.62,361.2,191512.204466
2020-10-02,361.1,361.1,334.22,343.2,363884.863102
2020-10-03,343.08,349.92,341.44,347.31,137779.853534
2020-10-04,347.31,350.96,343.96,346.74,105780.674746
2020-10-05,346.71,356.26,346.45,352.88,149176.00542
2020-10-06,352.88,355.0,341.0,351.34,147260.3629
2020-10-07,351.36,352.16,333.08,340.7,207609.126162
2020-10-08,340.68,351.01,334.18,349.18,187114.329372
2020-10-09,349.22,365.67,347.2,365.09,187821.447522
2020-10-10,365.17,378.4,362.04,372.79,194353.649298
2020-10-11,372.75,377.76,369.0,375.01,123789.941638
2020-10-12,375.13,387.0,364.0,385.54,238651.447595
2020-10-13,385.56,394.81,374.52,379.13,245066.173148
2020-10-14,379.11,387.42,375.0,375.77,168698.937175
2020-10-15,375.81,381.03,369.86,376.65,251663.321025
2020-10-16,376.7,381.54,359.72,366.86,316121.374606
2020-10-17,366.91,370.5,363.08,367.73,114543.197649
2020-10-18,367.74,378.0,365.3,375.54,90963.506521
2020-10-19,375.52,384.18,372.5,383.58,116739.817416
2020-10-20,383.59,384.32,364.22,370.88,174979.471118
2020-10-21,370.75,392.1,366.34,391.93,231699.540398
2020-10-22,391.92,417.0,390.0,414.45,262132.890126
2020-10-23,414.53,420.0,408.2,410.34,151801.138245
2020-10-24,410.34,416.27,400.44,413.52,103690.760606
2020-10-25,413.62,417.0,403.51,404.99,94823.036662
2020-10-26,404.94,410.61,390.52,392.4,106966.12611
2020-10-27,392.38,406.12,382.0,404.79,156511.819196
2020-10-28,404.78,409.71,380.0,387.03,196865.683942
2020-10-29,386.8,392.23,380.21,390.0,121612.601862
2020-10-30,390.0,393.06,373.0,381.8,139380.621784
2020-10-31,381.77,393.2,379.03,387.44,124574.243732
2020-11-01,387.32,389.0,382.02,386.36,78469.161371
2020-11-02,386.4,402.05,374.11,383.01,159776.405492
2020-11-03,382.86,385.99,367.17,378.89,163176.185209
2020-11-04,378.88,387.69,374.3,381.15,92396.607022
2020-11-05,381.21,412.83,380.57,412.7,248594.586247
2020-11-06,412.7,445.96,405.61,435.61,270605.604045
2020-11-07,435.53,467.97,435.3,447.96,200198.787611
2020-11-08,447.97,459.0,425.0,455.26,200011.202188
2020-11-09,455.3,461.25,436.23,437.62,146308.301402
2020-11-10,437.59,455.74,434.46,442.7,133372.464478
2020-11-11,442.69,467.0,441.28,461.76,152224.773592
2020-11-12,461.83,475.0,446.92,459.01,165004.991978
2020-11-13,459.01,473.21,449.29,468.08,133700.17645
2020-11-14,468.08,475.0,450.0,454.33,140185.57927
2020-11-15,454.28,459.61,447.25,451.86,79300.00054
2020-11-16,451.88,457.0,436.1,455.53,126585.757315
2020-11-17,455.63,471.0,453.6,470.67,125662.551709
2020-11-18,470.51,492.5,453.17,469.93,275555.022002
2020-11-19,469.93,478.0,461.33,474.68,126129.908342
2020-11-20,474.6,511.67,467.1,504.39,219945.04106
2020-11-21,504.54,538.24,501.0,535.9,222755.048288
2020-11-22,535.77,560.4,510.0,532.81,193235.048928
2020-11-23,532.82,605.8,531.03,589.71,316498.52018
2020-11-24,589.78,622.1,580.12,605.0,246803.246151
2020-11-25,605.1,612.0,577.0,591.67,162291.577812
2020-11-26,591.8,595.22,482.55,508.1,539230.402801
2020-11-27,508.19,530.39,481.51,496.31,301349.192868
2020-11-28,496.45,533.62,493.92,533.35,144084.983298
2020-11-29,533.39,558.56,530.23,554.36,170964.69048
2020-11-30,554.32,613.13,549.0,596.66,282518.164201
2020-12-01,596.8,636.0,560.56,604.15,414541.248893
2020-12-02,604.06,608.89,574.88,589.2,207479.50767
2020-12-03,589.41,619.42,583.43,618.88,157545.539222
2020-12-04,618.93,623.83,581.0,587.02,176313.090172
2020-12-05,587.01,597.0,561.0,592.33,150123.402662
2020-12-06,592.26,607.52,582.56,594.65,113630.610873
2020-12-07,594.79,603.76,590.0,594.42,108041.941384
2020-12-08,594.55,595.58,568.78,574.22,129712.67884
