candle_begin_time,open,high,low,close,volume
2018-06-06,7568.1,7687.9,7536.6,7651.1,19313.37741409
2018-06-07,7654.9,7755.0,7478.2,7697.9,24399.22215235
2018-06-08,7697.9,7738.2,7541.0,7634.6,23875.07550992
2018-06-09,7630.5,7688.8,7564.4,7617.6,17464.14246859
2018-06-10,7617.6,7636.9,7165.8,7223.0,23579.23147656
2018-06-11,7223.0,7230.0,6625.5,6689.6,46419.61690844
2018-06-12,6689.6,6908.8,6672.6,6756.5,24708.70413755
2018-06-13,6756.6,6758.5,6340.0,6363.3,33482.10617345
2018-06-14,6366.2,6545.5,6098.1,6345.2,32178.99336175
2018-06-15,6344.2,6700.0,6343.2,6537.1,28350.3214804
2018-06-16,6536.9,6609.5,6331.8,6364.4,19865.06527427
2018-06-17,6363.3,6588.3,6336.7,6517.2,16066.31561107
2018-06-18,6516.5,6546.3,6382.3,6462.3,16125.7326383
2018-06-19,6462.1,6834.9,6450.4,6742.2,23392.72651212
2018-06-20,6742.3,6774.4,6558.0,6755.1,21096.26721299
2018-06-21,6752.0,6806.1,6678.8,6711.3,17021.52748736
2018-06-22,6712.0,6744.9,6072.4,6150.8,28503.38534532
2018-06-23,6150.8,6237.7,5926.0,6090.7,29141.17027578
2018-06-24,6090.9,6256.6,5750.8,5776.1,29913.20212092
2018-06-25,5776.1,6334.5,5766.4,6292.0,28854.53554881
2018-06-26,6291.0,6323.3,6121.0,6188.7,20877.7766907
2018-06-27,6187.8,6249.3,5995.4,6109.8,23010.01391997
2018-06-28,6110.7,6181.9,6062.5,6102.5,19885.54577226
2018-06-29,6101.2,6111.9,5794.3,5903.0,22734.87415015
2018-06-30,5899.9,6516.6,5868.7,6380.2,27211.69265881
2018-07-01,6379.1,6441.6,6260.0,6313.0,17546.7072176
2018-07-02,6312.4,6671.5,6272.4,6624.8,22502.34079101
2018-07-03,6623.0,6679.9,6530.5,6583.3,21344.47244867
2018-07-04,6583.3,6799.9,6418.0,6679.1,23755.23352596
2018-07-05,6679.1,6698.6,6513.3,6616.7,22319.32973852
2018-07-06,6617.1,6642.4,6442.3,6567.0,20275.4328837
2018-07-07,6567.0,6626.6,6516.6,6556.9,16251.14497747
2018-07-08,6558.8,6829.9,6511.0,6738.9,19393.28433813
2018-07-09,6741.3,6769.6,6666.0,6726.4,16483.64819262
2018-07-10,6729.1,6801.0,6328.0,6382.6,24642.31612597
2018-07-11,6379.9,6410.5,6268.4,6357.0,24500.80870021
2018-07-12,6357.0,6377.7,6140.3,6166.3,22916.61383488
2018-07-13,6164.9,6282.0,6075.4,6261.2,19818.62387915
2018-07-14,6258.1,6338.5,6123.9,6246.6,16780.00068048
2018-07-15,6246.6,6394.7,6181.0,6388.0,15315.16616558
2018-07-16,6386.0,6668.1,6331.8,6633.9,19663.06341537
2018-07-17,6634.4,6792.0,6617.2,6777.0,19052.46337982
2018-07-18,6777.0,7547.6,6736.4,7429.6,31686.82210107
2018-07-19,7430.6,7584.7,7240.0,7397.1,25333.12709569
2018-07-20,7397.9,7563.3,7352.3,7466.0,24349.57398861
2018-07-21,7469.9,7696.3,7217.1,7391.0,25561.50632508
2018-07-22,7391.0,7554.1,7335.0,7522.4,18450.12216261
2018-07-23,7527.2,7799.9,7342.0,7730.0,29669.41306767
2018-07-24,7730.0,8362.6,7661.9,8185.2,40102.39078803
2018-07-25,8184.0,8488.8,8060.6,8112.0,26807.68836214
2018-07-26,8116.0,8331.7,8066.0,8204.5,21464.47937523
2018-07-27,8204.5,8300.0,7800.0,8149.3,30537.66668518
2018-07-28,8150.1,8279.1,7500.0,8111.0,23638.28172793
2018-07-29,8113.5,8294.4,8113.5,8230.8,19583.68198268
2018-07-30,8226.1,8282.8,8068.8,8114.3,23114.19403016
2018-07-31,8114.3,8222.0,7657.7,7753.3,40338.87248149
